Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
World,MESSAGE - RCP 8.5,Concentration - CO2,ppm,368.865,378.813,389.324,415.780,448.835,489.435,540.543,603.520,677.078,758.182,844.805,935.874,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Concentration - CH4,ppb,1751.023,1753.735,1778.675,1923.671,2132.014,2399.245,2739.985,3076.135,3322.341,3489.839,3638.592,3750.685,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Concentration - N2O,ppb,315.850,319.440,323.061,331.514,341.960,354.035,367.220,380.716,394.227,407.702,421.357,435.106,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Concentration - CO2-eq. (GHGs only),ppm,415.858,428.653,443.065,482.759,534.353,599.343,683.062,785.604,902.529,1029.936,1167.748,1313.451,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Concentration - CO2-eq. (incl. all forcing agents),ppm,364.367,375.200,392.058,429.091,479.089,545.794,628.430,725.227,834.844,954.053,1091.072,1231.445,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Forcing - Total,W/m2,1.723,1.906,2.154,2.665,3.276,3.993,4.762,5.539,6.299,7.020,7.742,8.388,"1) Total radiative forcing excludes mineral dust and the effect of land albedo.
2) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon."
World,MESSAGE - RCP 8.5,Forcing - CO2,W/m2,1.543,1.690,1.840,2.206,2.626,3.100,3.640,4.237,4.856,5.464,6.044,6.592,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Forcing - CH4,W/m2,0.485,0.486,0.497,0.552,0.625,0.715,0.821,0.917,0.984,1.028,1.066,1.094,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Forcing - N2O,W/m2,0.145,0.156,0.168,0.195,0.227,0.264,0.304,0.343,0.382,0.420,0.458,0.496,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,Forcing - Halocarbons (total),W/m2,0.332,0.340,0.345,0.360,0.371,0.366,0.339,0.316,0.303,0.297,0.295,0.294,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,"Forcing - Other (aerosols, O3, etc)",W/m2,-0.781,-0.766,-0.696,-0.648,-0.573,-0.452,-0.341,-0.274,-0.226,-0.189,-0.121,-0.088,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,2.124,3.054,3.697,4.841,5.428,6.658,8.069,9.429,10.314,10.628,11.098,10.982,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5LAM,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,0.736,0.753,0.713,0.838,0.967,1.195,1.495,1.805,2.022,1.814,1.534,1.389,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5MAF,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,0.827,0.938,0.997,1.379,1.744,2.297,2.962,3.708,4.141,4.762,5.034,5.371,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5OECD,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,3.317,3.474,3.567,4.020,4.728,5.190,5.705,6.131,6.522,6.893,6.836,6.408,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5REF,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,0.880,0.949,0.995,1.365,1.687,2.092,2.550,3.024,3.375,3.618,4.028,4.667,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.969,12.444,14.554,17.432,20.781,24.097,26.374,27.715,28.531,28.817,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,3.320,4.544,5.237,6.490,7.928,9.312,10.226,10.569,11.069,10.981,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5LAM,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.395,0.500,0.639,0.912,1.250,1.602,1.870,1.722,1.508,1.433,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5MAF,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.710,0.791,1.184,1.558,2.120,2.799,3.560,4.008,4.648,4.942,5.302,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5OECD,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.471,3.977,4.740,5.206,5.721,6.151,6.545,6.918,6.864,6.438,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5REF,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.948,1.333,1.665,2.059,2.507,2.971,3.313,3.549,3.953,4.586,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
World,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.926,11.538,13.839,16.787,20.205,23.596,25.962,27.406,28.337,28.740,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5ASIA,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,0.356,0.445,0.378,0.297,0.191,0.168,0.141,0.117,0.088,0.059,0.029,0.001,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5LAM,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,0.365,0.341,0.318,0.338,0.328,0.283,0.245,0.203,0.152,0.092,0.026,-0.044,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5MAF,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,0.246,0.227,0.206,0.196,0.186,0.177,0.163,0.148,0.133,0.114,0.092,0.069,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5OECD,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,0.126,0.126,0.095,0.044,-0.012,-0.016,-0.016,-0.020,-0.023,-0.025,-0.028,-0.030,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5REF,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,0.056,0.056,0.047,0.032,0.022,0.033,0.043,0.053,0.062,0.069,0.075,0.081,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MESSAGE - RCP 8.5,CO2 emissions - Land-use change,PgC/yr,1.149,1.196,1.044,0.906,0.715,0.645,0.576,0.501,0.412,0.309,0.194,0.077,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,125.072,150.149,168.857,196.050,214.857,252.851,301.507,337.097,365.573,392.986,418.695,414.695,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,39.993,44.307,47.937,59.951,70.969,80.869,88.314,93.339,90.187,88.430,87.154,86.661,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,44.322,51.355,58.063,78.436,100.704,126.360,147.592,166.515,166.236,168.500,175.386,181.671,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,60.897,60.482,60.616,62.464,66.930,71.894,77.786,82.834,90.114,98.081,106.633,109.397,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,29.733,31.794,33.722,41.412,44.940,53.523,61.029,64.782,67.394,72.769,82.254,94.523,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,MESSAGE - RCP 8.5,CH4 emissions -Total,TgCH4/yr,300.438,338.530,369.669,438.829,498.941,586.045,676.790,745.149,780.079,821.346,870.708,887.564,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.278,0.340,0.418,0.695,0.940,1.133,1.181,1.018,0.922,0.805,0.708,0.630,
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.102,0.111,0.121,0.153,0.179,0.209,0.234,0.251,0.254,0.230,0.193,0.163,
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.075,0.088,0.105,0.154,0.205,0.201,0.219,0.197,0.226,0.244,0.216,0.236,
