Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.365,0.384,0.410,0.494,0.554,0.556,0.531,0.496,0.446,0.386,0.328,0.298,
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.051,0.060,0.067,0.110,0.147,0.180,0.217,0.226,0.198,0.144,0.105,0.086,
World,MESSAGE - RCP 8.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.872,0.984,1.121,1.606,2.024,2.280,2.382,2.188,2.047,1.810,1.550,1.414,
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5REF,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
World,MESSAGE - RCP 8.5,CH4 emissions - International Shipping,TgCH4/yr,0.433,0.464,0.496,0.533,0.562,0.580,0.586,0.607,0.609,0.627,0.627,0.644,
R5ASIA,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,22.003,36.381,45.487,57.430,56.338,70.201,91.929,110.004,122.183,133.577,150.655,150.910,
R5LAM,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,5.075,5.598,5.377,6.639,9.406,10.596,9.870,9.320,6.775,6.214,6.161,6.663,
R5MAF,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.437,15.562,16.724,22.625,31.554,40.192,43.839,46.631,37.376,33.946,36.558,39.479,
R5OECD,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,16.746,16.117,16.191,17.827,22.150,26.719,32.269,36.882,43.824,51.755,60.156,62.593,
R5REF,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.672,14.865,15.963,22.019,23.950,30.113,34.864,39.284,42.410,48.095,57.667,69.897,
World,MESSAGE - RCP 8.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,70.928,88.519,99.738,126.536,143.393,177.816,212.769,242.119,252.564,273.574,311.190,329.549,
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,MESSAGE - RCP 8.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,23.163,30.187,37.296,45.274,57.468,73.839,93.568,104.833,114.857,125.608,128.087,117.156,
R5LAM,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,9.459,11.055,12.636,17.508,21.066,25.596,30.462,33.968,31.870,29.589,27.234,24.875,
R5MAF,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,6.029,8.150,10.839,18.050,24.777,34.863,44.780,54.492,58.066,57.738,55.472,51.551,
R5OECD,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,17.612,17.199,16.835,16.042,14.744,13.380,12.044,10.787,9.666,8.676,7.742,6.899,
R5REF,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,5.594,6.008,6.445,7.592,8.756,10.703,13.010,11.803,10.675,9.729,8.937,8.206,
World,MESSAGE - RCP 8.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,61.856,72.590,84.045,104.460,126.805,158.364,193.852,215.869,225.120,231.324,227.459,208.673,
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.243,0.298,0.365,0.419,0.411,0.406,0.387,0.364,0.336,0.332,0.246,0.213,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.085,0.089,0.085,0.086,0.098,0.112,0.079,0.064,0.051,0.048,0.043,0.039,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.059,0.068,0.073,0.106,0.109,0.136,0.170,0.184,0.184,0.190,0.190,0.179,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.361,0.308,0.259,0.196,0.143,0.103,0.074,0.056,0.046,0.032,0.025,0.021,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.130,0.137,0.152,0.182,0.176,0.157,0.135,0.114,0.094,0.078,0.064,0.055,1) MiniCAM includes emissions from charcoal production in Industry
World,MESSAGE - RCP 8.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.879,0.900,0.933,0.988,0.937,0.913,0.845,0.783,0.711,0.678,0.568,0.507,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,7.839,8.411,8.125,8.272,8.140,8.211,8.173,7.865,7.587,7.308,7.222,6.788,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.431,0.471,0.481,0.558,0.528,0.514,0.486,0.282,0.223,0.177,0.140,0.110,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,3.566,4.090,4.565,5.390,5.640,5.711,5.855,5.724,5.972,6.241,6.527,6.818,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.883,0.869,0.686,0.499,0.159,0.079,0.040,0.012,0.015,0.013,0.011,0.010,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.454,0.425,0.315,0.065,0.025,0.008,0.005,0.005,0.005,0.002,0.005,0.005,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,MESSAGE - RCP 8.5,CH4 emissions - Residential and Commercial,TgCH4/yr,13.174,14.265,14.171,14.784,14.491,14.522,14.559,13.888,13.803,13.740,13.906,13.731,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.002,1.049,1.097,1.209,1.278,1.184,1.092,0.959,0.904,0.881,0.863,0.843,1) MiniCAM currently does not explicitly model waste burning on fields
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.117,0.120,0.124,0.136,0.125,0.120,0.111,0.096,0.085,0.077,0.070,0.063,1) MiniCAM currently does not explicitly model waste burning on fields
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.152,0.169,0.186,0.216,0.242,0.259,0.265,0.243,0.230,0.224,0.218,0.212,1) MiniCAM currently does not explicitly model waste burning on fields
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.115,0.109,0.103,0.091,0.082,0.076,0.069,0.063,0.059,0.055,0.051,0.048,1) MiniCAM currently does not explicitly model waste burning on fields
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.067,0.060,0.053,0.045,0.039,0.030,0.025,0.022,0.019,0.018,0.017,0.017,1) MiniCAM currently does not explicitly model waste burning on fields
World,MESSAGE - RCP 8.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.453,1.508,1.563,1.697,1.766,1.668,1.563,1.383,1.298,1.255,1.218,1.182,1) MiniCAM currently does not explicitly model waste burning on fields
R5ASIA,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,61.808,65.205,68.250,75.301,83.221,91.509,99.436,106.953,114.321,120.655,127.703,135.549,
R5LAM,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,20.168,22.479,24.849,30.739,35.710,40.198,43.910,46.548,48.464,49.978,51.546,53.155,
R5MAF,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,13.326,15.560,17.911,24.284,30.698,37.657,45.268,52.009,57.309,63.173,69.644,76.798,
R5OECD,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,23.075,23.757,24.393,25.577,27.362,29.249,31.028,32.810,34.332,35.441,36.598,37.810,
R5REF,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,6.921,7.395,7.881,8.561,9.011,9.500,9.944,10.503,11.171,11.884,12.642,13.444,
World,MESSAGE - RCP 8.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,125.293,134.387,143.276,164.453,185.993,208.104,229.578,248.815,265.582,281.112,298.111,316.736,
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,0.185,0.184,0.183,0.184,0.186,0.187,0.187,0.188,0.189,0.188,0.188,0.187,
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,0.827,0.836,0.844,0.847,0.849,0.847,0.846,0.845,0.844,0.844,0.840,0.837,
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,6.388,6.377,6.366,6.305,6.239,6.161,6.088,6.018,5.964,5.936,5.853,5.797,
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,0.890,0.890,0.890,0.891,0.890,0.889,0.889,0.888,0.888,0.888,0.886,0.886,
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,0.661,0.661,0.661,0.662,0.663,0.664,0.665,0.666,0.666,0.667,0.668,0.668,
World,MESSAGE - RCP 8.5,CH4 emissions - Grassland burning,TgCH4/yr,8.951,8.948,8.945,8.889,8.828,8.749,8.676,8.605,8.551,8.523,8.435,8.375,
R5ASIA,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,8.551,8.093,7.635,7.266,6.875,6.181,5.553,4.913,4.274,3.631,3.024,2.419,1) MESSAGE data only reported for main tropical regions based on RETRO
R5LAM,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,3.728,3.550,3.419,3.285,3.008,2.677,2.315,1.965,1.620,1.273,0.929,0.755,1) MESSAGE data only reported for main tropical regions based on RETRO
R5MAF,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,1.289,1.291,1.294,1.305,1.241,1.180,1.107,1.015,0.907,0.809,0.707,0.601,1) MESSAGE data only reported for main tropical regions based on RETRO
R5OECD,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,0.849,0.849,0.850,0.847,0.845,0.843,0.841,0.840,0.838,0.837,0.835,0.834,1) MESSAGE data only reported for main tropical regions based on RETRO
R5REF,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,2.183,2.183,2.184,2.178,2.173,2.168,2.164,2.160,2.156,2.152,2.149,2.145,1) MESSAGE data only reported for main tropical regions based on RETRO
World,MESSAGE - RCP 8.5,CH4 emissions - Forest burning,TgCH4/yr,16.600,15.966,15.381,14.882,14.142,13.050,11.980,10.893,9.796,8.702,7.643,6.754,1) MESSAGE data only reported for main tropical regions based on RETRO
R5ASIA,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,4.000,4.267,4.539,5.278,5.916,6.603,7.025,7.285,7.435,7.981,8.683,8.938,
R5LAM,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,1.642,1.726,1.898,2.415,2.767,3.122,3.309,3.460,3.550,3.527,3.498,3.449,
R5MAF,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,1.855,2.007,2.143,2.683,3.260,3.780,4.207,4.684,5.164,5.500,5.822,6.205,
R5OECD,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,3.477,3.350,3.429,3.637,3.886,4.199,4.328,4.454,4.484,4.503,4.544,4.570,
R5REF,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,0.744,0.724,0.802,1.003,1.110,1.197,1.240,1.209,1.273,1.366,1.484,1.628,
World,MESSAGE - RCP 8.5,N2O emissions - Total,TgN2O/yr,11.718,12.075,12.811,15.015,16.938,18.901,20.108,21.091,21.906,22.878,24.031,24.790,
R5ASIA,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,4.097,6.968,6.651,0.892,0.535,0.320,0.191,0.106,0.057,0.029,0.000,0.000,
R5LAM,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,0.323,0.337,0.412,0.040,0.024,0.014,0.009,0.005,0.003,0.001,0.000,0.000,
R5MAF,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5OECD,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,5.784,3.455,2.453,0.218,0.131,0.078,0.047,0.026,0.014,0.007,0.000,0.000,
R5REF,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,0.192,0.052,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,
World,MESSAGE - RCP 8.5,HFC23 emissions - Total,kt/yr,10.395,10.812,9.522,1.152,0.691,0.413,0.246,0.138,0.073,0.037,0.000,0.000,
R5ASIA,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,0.867,3.035,4.893,16.710,25.772,34.555,34.679,40.334,45.687,47.095,43.762,37.056,
R5LAM,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,0.128,0.470,0.978,3.360,4.804,6.500,7.136,9.375,11.619,12.778,12.989,12.516,
R5MAF,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,0.080,0.369,0.832,3.043,3.866,5.109,6.258,9.413,13.208,16.189,18.088,18.862,
R5OECD,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,2.808,6.757,10.499,34.997,34.046,30.125,22.421,20.466,18.578,15.603,12.554,9.837,
R5REF,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,0.117,0.364,0.741,2.533,3.548,4.422,4.113,4.497,4.789,4.606,3.810,2.955,
World,MESSAGE - RCP 8.5,HFC32 emissions - Total,kt/yr,4.000,10.993,17.942,60.642,72.035,80.712,74.608,84.086,93.880,96.271,91.204,81.227,
