Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5OECD,IMAGE - RCP3-PD (2.6),CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.451,3.178,2.245,1.085,0.618,0.111,-0.312,-0.369,-0.404,-0.453,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5REF,IMAGE - RCP3-PD (2.6),CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.867,0.799,0.540,0.315,0.238,0.117,-0.025,-0.081,-0.126,-0.158,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
World,IMAGE - RCP3-PD (2.6),CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.821,9.288,7.157,4.535,3.186,1.419,0.116,-0.433,-0.870,-0.931,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5ASIA,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,0.356,0.445,0.420,0.329,0.184,0.082,0.107,0.134,0.115,0.127,0.145,0.129,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5LAM,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,0.365,0.341,0.345,0.198,0.155,0.123,0.048,0.083,0.076,0.074,0.123,0.097,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5MAF,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,0.246,0.227,0.110,0.337,0.355,0.144,-0.013,0.179,0.145,0.126,0.089,0.041,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5OECD,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,0.126,0.126,0.136,0.081,0.068,0.095,0.001,0.153,0.119,0.129,0.138,0.127,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5REF,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,0.056,0.056,0.046,0.028,0.028,0.045,0.058,0.066,0.083,0.094,0.107,0.118,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,IMAGE - RCP3-PD (2.6),CO2 emissions - Land-use change,PgC/yr,1.149,1.196,1.057,0.973,0.789,0.489,0.201,0.615,0.538,0.550,0.602,0.511,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,IMAGE - RCP3-PD (2.6),CH4 emissions -Total,TgCH4/yr,124.956,127.378,141.642,107.735,98.817,91.024,73.943,66.235,62.528,59.226,56.027,54.435,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
