Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
R5REF,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.882,0.861,0.837,0.779,0.690,0.541,0.388,0.231,0.220,0.221,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
World,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.607,9.872,10.953,11.338,11.031,9.401,7.118,4.182,4.193,4.203,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5ASIA,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,0.356,0.445,0.334,0.111,-0.007,-0.012,-0.000,-0.006,-0.015,-0.028,-0.020,-0.033,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5LAM,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,0.365,0.341,0.261,0.101,0.040,0.037,0.048,0.038,0.025,0.006,0.011,0.018,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5MAF,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,0.246,0.227,0.154,0.009,0.006,0.024,0.066,0.045,0.023,0.002,0.006,0.011,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5OECD,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,0.126,0.126,0.100,0.049,0.094,0.090,0.100,0.072,0.043,0.015,0.016,0.027,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5REF,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,0.056,0.056,0.061,0.071,0.084,0.060,0.035,0.035,0.028,0.014,0.014,0.024,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,CO2 emissions - Land-use change,PgC/yr,1.149,1.196,0.911,0.341,0.216,0.199,0.249,0.184,0.104,0.008,0.027,0.046,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,125.131,128.247,130.759,135.782,138.706,139.076,136.890,134.208,128.192,118.844,113.965,109.086,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,40.004,40.273,41.023,42.523,44.935,45.501,44.221,46.774,46.400,43.101,41.349,39.598,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,44.350,47.079,50.102,56.149,59.782,62.972,65.718,65.589,63.922,60.716,61.494,62.273,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,60.919,58.348,58.192,57.879,57.324,55.710,53.038,49.966,47.153,44.600,41.866,39.132,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,29.724,27.117,28.756,32.034,30.369,29.869,30.534,20.101,14.132,12.629,13.826,15.023,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,MiniCAM - RCP 4.5,CH4 emissions -Total,TgCH4/yr,300.549,301.554,309.357,324.977,331.840,333.953,331.315,317.588,300.746,280.788,273.419,266.051,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.278,0.378,0.473,0.661,0.899,1.081,1.207,1.170,1.062,0.883,0.830,0.777,
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.103,0.116,0.117,0.118,0.123,0.128,0.134,0.140,0.140,0.136,0.120,0.105,
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.075,0.097,0.103,0.116,0.127,0.133,0.135,0.145,0.149,0.146,0.145,0.144,
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.365,0.378,0.356,0.313,0.277,0.234,0.184,0.152,0.124,0.100,0.089,0.079,
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.051,0.062,0.061,0.059,0.057,0.054,0.050,0.043,0.037,0.030,0.027,0.024,
World,MiniCAM - RCP 4.5,CH4 emissions - Surface Transportation,TgCH4/yr,0.872,1.031,1.110,1.266,1.482,1.630,1.709,1.650,1.512,1.295,1.212,1.128,
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5REF,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
World,MiniCAM - RCP 4.5,CH4 emissions - International Shipping,TgCH4/yr,0.433,0.503,0.545,0.630,0.742,0.843,0.935,0.972,0.964,0.914,0.934,0.955,
R5ASIA,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,22.015,20.744,20.115,18.857,16.699,15.526,15.336,17.338,17.281,15.163,15.296,15.430,
R5LAM,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,5.078,4.543,4.547,4.557,6.181,6.319,4.971,8.295,9.251,7.838,6.612,5.387,
R5MAF,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.444,14.489,15.198,16.615,18.545,20.491,22.454,22.194,21.436,20.180,21.573,22.965,
R5OECD,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,16.755,15.838,15.616,15.173,16.335,16.401,15.370,15.069,14.539,13.780,10.734,7.688,
R5REF,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.679,13.682,15.605,19.449,18.224,18.150,19.227,9.687,4.571,3.880,5.239,6.598,
World,MiniCAM - RCP 4.5,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,70.966,69.290,71.076,74.648,75.982,76.883,77.352,72.575,67.073,60.838,59.450,58.064,
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,MiniCAM - RCP 4.5,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,23.175,24.544,25.617,27.764,28.668,29.140,29.178,27.856,25.904,23.323,21.128,18.933,
R5LAM,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,9.464,9.703,9.949,10.440,10.569,10.942,11.559,11.596,10.935,9.575,8.920,8.265,
R5MAF,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,6.032,6.588,7.246,8.561,9.574,10.465,11.232,11.891,12.217,12.212,12.023,11.835,
R5OECD,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,17.622,16.775,16.398,15.645,13.678,12.039,10.729,9.134,8.023,7.395,7.406,7.418,
R5REF,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,5.597,5.329,5.044,4.473,4.048,3.700,3.427,2.799,2.270,1.841,1.711,1.580,
World,MiniCAM - RCP 4.5,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,61.889,62.937,64.247,66.876,66.531,66.277,66.118,63.272,59.346,54.342,51.186,48.028,
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.243,0.234,0.267,0.333,0.423,0.493,0.545,0.554,0.526,0.458,0.464,0.470,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.085,0.088,0.096,0.113,0.123,0.137,0.155,0.174,0.178,0.167,0.174,0.180,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.059,0.068,0.084,0.117,0.108,0.089,0.058,0.067,0.069,0.067,0.077,0.087,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.361,0.342,0.332,0.314,0.310,0.300,0.285,0.266,0.250,0.237,0.238,0.239,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.130,0.238,0.232,0.220,0.218,0.213,0.206,0.195,0.186,0.178,0.185,0.192,1) MiniCAM includes emissions from charcoal production in Industry
World,MiniCAM - RCP 4.5,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.879,0.969,1.012,1.097,1.180,1.231,1.249,1.256,1.209,1.108,1.138,1.167,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,7.844,7.987,8.424,9.298,9.012,8.389,7.427,6.232,4.957,3.601,2.940,2.279,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.432,0.463,0.488,0.538,0.561,0.599,0.651,0.653,0.613,0.532,0.469,0.405,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,3.568,4.096,4.798,6.201,6.694,6.924,6.892,6.522,5.789,4.692,4.042,3.393,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.884,0.972,0.922,0.822,0.775,0.716,0.647,0.561,0.470,0.374,0.358,0.342,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,0.455,0.752,0.711,0.630,0.580,0.526,0.469,0.384,0.302,0.224,0.196,0.167,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,MiniCAM - RCP 4.5,CH4 emissions - Residential and Commercial,TgCH4/yr,13.181,14.267,15.341,17.488,17.621,17.153,16.085,14.351,12.130,9.423,8.004,6.586,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.002,1.081,1.122,1.204,1.161,1.043,0.852,0.728,0.650,0.617,0.609,0.600,1) MiniCAM currently does not explicitly model waste burning on fields
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.117,0.128,0.130,0.133,0.135,0.135,0.134,0.115,0.095,0.073,0.066,0.059,1) MiniCAM currently does not explicitly model waste burning on fields
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.152,0.173,0.185,0.209,0.228,0.240,0.245,0.239,0.230,0.216,0.202,0.187,1) MiniCAM currently does not explicitly model waste burning on fields
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.115,0.112,0.112,0.114,0.118,0.120,0.120,0.119,0.117,0.114,0.114,0.114,1) MiniCAM currently does not explicitly model waste burning on fields
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,0.067,0.060,0.062,0.066,0.063,0.058,0.051,0.044,0.036,0.028,0.025,0.023,1) MiniCAM currently does not explicitly model waste burning on fields
World,MiniCAM - RCP 4.5,CH4 emissions - Ag waste burning on fields,TgCH4/yr,1.454,1.553,1.611,1.725,1.704,1.596,1.402,1.245,1.127,1.049,1.015,0.982,1) MiniCAM currently does not explicitly model waste burning on fields
R5ASIA,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,61.841,64.632,68.538,76.351,80.470,81.973,80.859,78.933,76.488,73.526,71.419,69.312,
R5LAM,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,20.179,20.686,22.141,25.050,25.673,25.674,25.053,24.238,23.625,23.214,23.393,23.572,
R5MAF,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,13.333,13.883,15.121,17.597,17.889,17.919,17.685,17.539,17.218,16.720,16.847,16.974,
R5OECD,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,23.087,22.239,22.746,23.761,24.127,23.980,23.319,22.463,21.696,21.020,21.279,21.538,
R5REF,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,6.925,4.307,4.304,4.298,4.231,4.130,3.994,3.809,3.644,3.499,3.481,3.462,
World,MiniCAM - RCP 4.5,"CH4 emissions - Agriculture (Animals, Rice, & Soil)",TgCH4/yr,125.360,125.742,132.843,147.048,152.382,153.668,150.902,146.973,142.662,137.971,136.410,134.851,
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,0.185,0.186,0.178,0.164,0.151,0.142,0.137,0.136,0.136,0.137,0.138,0.139,
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,0.827,0.827,0.787,0.708,0.661,0.633,0.623,0.621,0.620,0.621,0.621,0.622,
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,6.374,6.374,6.185,5.809,5.643,5.537,5.491,5.481,5.479,5.487,5.495,5.502,
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,0.885,0.885,0.874,0.851,0.835,0.824,0.818,0.817,0.818,0.821,0.822,0.824,
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,0.655,0.655,0.606,0.509,0.417,0.363,0.346,0.343,0.342,0.341,0.341,0.342,
World,MiniCAM - RCP 4.5,CH4 emissions - Grassland burning,TgCH4/yr,8.926,8.926,8.631,8.040,7.708,7.499,7.415,7.398,7.395,7.406,7.418,7.429,
R5ASIA,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,8.548,8.462,6.025,1.151,1.224,1.290,1.349,1.260,1.188,1.136,1.141,1.146,1) MESSAGE data only reported for main tropical regions based on RETRO
R5LAM,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,3.720,3.720,2.768,0.865,0.909,0.935,0.942,0.942,0.943,0.945,0.974,1.003,1) MESSAGE data only reported for main tropical regions based on RETRO
R5MAF,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,1.312,1.312,1.183,0.926,0.973,1.173,1.525,1.511,1.335,0.996,1.091,1.185,1) MESSAGE data only reported for main tropical regions based on RETRO
R5OECD,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,0.844,0.808,0.835,0.887,0.870,1.097,1.566,1.386,1.117,0.760,0.825,0.891,1) MESSAGE data only reported for main tropical regions based on RETRO
R5REF,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,2.165,2.032,2.132,2.330,2.531,2.676,2.765,2.797,2.744,2.606,2.621,2.635,1) MESSAGE data only reported for main tropical regions based on RETRO
World,MiniCAM - RCP 4.5,CH4 emissions - Forest burning,TgCH4/yr,16.589,16.335,12.943,6.159,6.508,7.171,8.148,7.895,7.327,6.443,6.651,6.860,1) MESSAGE data only reported for main tropical regions based on RETRO
R5ASIA,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,4.000,4.267,4.477,4.886,5.124,5.154,4.984,4.899,4.776,4.615,4.554,4.545,
R5LAM,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,1.642,1.726,1.749,1.795,1.828,1.826,1.790,1.795,1.789,1.772,1.767,1.763,
R5MAF,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,1.855,2.007,2.162,2.485,2.648,2.781,2.882,2.894,2.875,2.825,2.846,2.840,
R5OECD,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,3.477,3.350,3.270,3.107,3.224,3.278,3.267,3.222,3.160,3.080,3.101,3.094,
R5REF,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,0.744,0.724,0.706,0.668,0.647,0.614,0.572,0.556,0.535,0.510,0.506,0.505,
World,MiniCAM - RCP 4.5,N2O emissions - Total,TgN2O/yr,11.718,12.075,12.364,12.941,13.470,13.654,13.496,13.367,13.136,12.802,12.775,12.747,
R5ASIA,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,4.097,6.968,6.651,0.892,0.535,0.320,0.191,0.106,0.057,0.029,0.000,0.000,
R5LAM,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,0.323,0.337,0.412,0.040,0.024,0.014,0.009,0.005,0.003,0.001,0.000,0.000,
R5MAF,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5OECD,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,5.784,3.455,2.453,0.218,0.131,0.078,0.047,0.026,0.014,0.007,0.000,0.000,
R5REF,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,0.192,0.052,0.006,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,
World,MiniCAM - RCP 4.5,HFC23 emissions - Total,kt/yr,10.395,10.812,9.522,1.152,0.691,0.413,0.246,0.138,0.073,0.037,0.000,0.000,
R5ASIA,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,0.867,3.035,4.893,16.710,25.772,34.555,34.679,40.334,45.687,47.095,43.762,38.975,
R5LAM,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,0.128,0.470,0.978,3.360,4.804,6.500,7.136,9.375,11.619,12.778,12.989,11.569,
R5MAF,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,0.080,0.369,0.832,3.043,3.866,5.109,6.258,9.413,13.208,16.189,18.088,16.109,
R5OECD,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,2.808,6.757,10.499,34.997,34.046,30.125,22.421,20.466,18.578,15.603,12.554,11.181,
R5REF,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,0.117,0.364,0.741,2.533,3.548,4.422,4.113,4.497,4.789,4.606,3.810,3.393,
World,MiniCAM - RCP 4.5,HFC32 emissions - Total,kt/yr,4.000,10.993,17.942,60.642,72.035,80.712,74.608,84.086,93.880,96.271,91.204,81.227,
