Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
World,MiniCAM - RCP 4.5,Concentration - CO2,ppm,368.865,378.813,389.128,411.129,435.046,460.845,486.535,508.871,524.302,531.138,533.741,538.358,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Concentration - CH4,ppb,1751.023,1753.735,1767.098,1801.434,1829.908,1841.803,1833.094,1800.511,1744.739,1671.829,1613.554,1576.346,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Concentration - N2O,ppb,315.850,319.440,322.967,329.983,337.118,344.139,350.608,356.322,361.314,365.511,369.068,372.274,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Concentration - CO2-eq. (GHGs only),ppm,415.858,428.653,442.353,471.958,503.799,537.235,569.715,596.993,614.770,621.480,623.855,629.592,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Concentration - CO2-eq. (incl. all forcing agents),ppm,364.367,375.148,390.164,423.269,457.458,492.998,526.376,551.912,569.176,576.427,576.766,580.909,1) Note that RCP 6.0 concentration data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Forcing - Total,W/m2,1.723,1.905,2.126,2.579,3.005,3.411,3.766,4.021,4.188,4.256,4.265,4.309,"1) Total radiative forcing excludes mineral dust and the effect of land albedo.
2) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon."
World,MiniCAM - RCP 4.5,Forcing - CO2,W/m2,1.543,1.690,1.837,2.142,2.453,2.768,3.063,3.305,3.465,3.535,3.567,3.618,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Forcing - CH4,W/m2,0.485,0.486,0.492,0.504,0.514,0.518,0.514,0.502,0.480,0.452,0.430,0.415,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Forcing - N2O,W/m2,0.145,0.156,0.167,0.189,0.212,0.233,0.253,0.270,0.285,0.297,0.308,0.317,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,Forcing - Halocarbons (total),W/m2,0.332,0.340,0.344,0.348,0.344,0.323,0.279,0.242,0.215,0.197,0.188,0.183,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,"Forcing - Other (aerosols, O3, etc)",W/m2,-0.781,-0.768,-0.713,-0.605,-0.518,-0.431,-0.344,-0.296,-0.257,-0.226,-0.227,-0.224,1) Note that RCP 6.0 radiadive forcing data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,2.124,3.054,3.485,4.348,5.176,5.713,5.859,4.948,3.605,1.830,1.925,1.916,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5LAM,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,0.736,0.753,0.696,0.582,0.560,0.595,0.642,0.613,0.541,0.427,0.452,0.461,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5MAF,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,0.827,0.938,0.991,1.087,1.247,1.354,1.415,1.257,1.007,0.666,0.672,0.678,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5OECD,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,3.317,3.474,3.404,3.264,3.265,3.036,2.639,2.191,1.652,1.022,0.936,0.950,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5REF,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,0.880,0.949,0.943,0.932,0.921,0.839,0.725,0.576,0.416,0.245,0.234,0.245,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
World,MiniCAM - RCP 4.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.518,10.212,11.170,11.537,11.280,9.585,7.222,4.190,4.220,4.249,1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
R5ASIA,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,1.768,2.608,3.151,4.237,5.184,5.725,5.860,4.954,3.621,1.859,1.945,1.950,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5LAM,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.371,0.412,0.435,0.481,0.521,0.558,0.594,0.574,0.517,0.421,0.441,0.442,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5MAF,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.710,0.836,1.078,1.241,1.330,1.349,1.212,0.984,0.664,0.666,0.667,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
R5OECD,MiniCAM - RCP 4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.304,3.215,3.171,2.946,2.539,2.120,1.609,1.007,0.921,0.923,"1) Note that RCP 6.0 CO2 emission data are not harmonized to the same base year across the models yet. Harmonized data is under preparation and will be added soon.
2) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
