R5LAM,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,0.336,0.504,1.271,1.373,1.513,1.717,1.988,2.333,2.621,2.762,2.903,2.999,
R5MAF,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,0.352,0.529,1.326,1.428,1.721,1.980,2.208,2.607,3.035,3.393,3.805,4.134,
R5OECD,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,14.690,22.036,49.807,50.535,49.813,49.016,47.831,47.474,46.943,45.865,43.369,40.713,
R5REF,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,0.301,0.452,1.080,1.133,1.125,1.125,1.130,1.139,1.141,1.121,1.099,1.068,
World,AIM - RCP 6.0,HFC245fa emissions - Total,kt/yr,17.926,26.889,63.231,65.706,67.329,68.510,68.946,70.024,70.671,70.024,67.758,65.062,
R5ASIA,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,2.083,2.277,4.179,3.895,4.427,4.700,4.653,4.437,4.053,3.534,2.938,2.378,
R5LAM,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,0.752,0.778,1.525,1.659,1.990,2.340,2.665,3.278,3.708,3.876,3.932,3.928,
R5MAF,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,0.734,0.963,2.020,2.614,3.374,4.009,4.414,5.414,6.259,6.818,7.225,7.454,
R5OECD,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,6.596,6.315,12.216,12.977,11.972,11.005,10.196,8.681,7.465,6.753,5.973,5.258,
R5REF,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,1.835,1.274,2.270,1.729,1.761,1.779,1.785,1.915,1.975,1.954,1.872,1.781,
World,AIM - RCP 6.0,CF4 emissions - Total,ktons CF4 / yr,12.000,11.606,22.210,22.874,23.524,23.833,23.713,23.725,23.460,22.935,21.940,20.799,
R5ASIA,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5LAM,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5MAF,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
R5OECD,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.409,0.384,0.411,0.163,0.099,0.099,0.096,0.095,0.094,0.091,0.086,0.078,
R5REF,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.053,0.052,0.056,0.022,0.013,0.013,0.013,0.013,0.013,0.012,0.012,0.011,
World,AIM - RCP 6.0,C6F14 emissions - Total,ktons C6F14 / yr,0.462,0.436,0.467,0.184,0.112,0.113,0.109,0.107,0.107,0.103,0.097,0.089,
R5ASIA,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,0.821,0.964,0.939,0.929,1.144,1.271,1.370,1.434,1.532,1.467,1.472,1.407,
R5LAM,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,0.016,0.016,0.015,0.013,0.011,0.010,0.008,0.007,0.005,0.003,0.002,0.000,
R5MAF,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,0.046,0.066,0.062,0.056,0.058,0.055,0.051,0.047,0.044,0.037,0.031,0.023,
R5OECD,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,1.399,1.532,1.521,1.602,1.446,1.255,1.090,0.967,0.917,0.816,0.753,0.664,
R5REF,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,0.093,0.072,0.067,0.060,0.050,0.040,0.032,0.026,0.022,0.016,0.012,0.007,
World,AIM - RCP 6.0,C2F6 emissions - Total,kton C2F6 / yr,2.375,2.649,2.603,2.660,2.709,2.630,2.551,2.480,2.520,2.339,2.270,2.102,
R5ASIA,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,1.227,1.812,2.211,1.570,1.804,1.989,2.151,2.275,2.377,2.401,2.334,2.213,
R5LAM,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,0.231,0.276,0.345,0.430,0.480,0.543,0.618,0.713,0.811,0.886,0.949,0.976,
R5MAF,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,0.208,0.238,0.336,0.810,1.005,1.157,1.284,1.469,1.650,1.777,1.916,1.977,
R5OECD,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,3.388,3.422,4.193,5.480,5.180,4.852,4.548,4.285,4.063,3.787,3.566,3.284,
R5REF,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,0.486,0.594,0.686,1.136,1.132,1.146,1.179,1.186,1.183,1.146,1.110,1.048,
World,AIM - RCP 6.0,SF6 emissions - Total,Gg/yr,5.538,6.341,7.770,9.425,9.603,9.687,9.780,9.928,10.083,9.996,9.875,9.497,
World,AIM - RCP 6.0,ODS emissions - CFC-11,kt,99.227,49.490,42.976,30.725,21.966,15.704,11.227,8.027,5.739,4.103,2.933,2.097,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CFC-12,kt,140.712,51.552,36.906,15.181,6.245,2.569,1.057,0.435,0.179,0.074,0.030,0.012,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CFC-13,kt,17.777,0.854,0.377,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CFC-114,kt,0.567,0.227,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CFC-115,kt,2.609,0.785,0.186,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CCl4,kt,74.132,65.000,32.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CH3CCl3,kt,18.584,10.874,7.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - HCFC-22,kt,229.638,283.408,349.552,444.821,472.764,240.141,59.657,14.820,3.682,0.915,0.227,0.056,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - HCFC-141b,kt,55.602,46.641,54.598,57.463,58.080,44.431,26.602,15.928,9.537,5.710,3.419,2.047,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - HCFC-142b,kt,26.296,26.458,36.801,18.867,9.424,4.563,1.982,0.861,0.374,0.162,0.071,0.031,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - Halon 1211,kt,8.834,7.518,5.230,2.531,1.225,0.593,0.287,0.139,0.067,0.033,0.016,0.008,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - Halon 1202,kt,0.328,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - Halon 1301,kt,2.295,1.920,1.521,0.911,0.545,0.326,0.195,0.117,0.070,0.042,0.025,0.015,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - Halon 2402,kt,0.562,0.314,0.175,0.055,0.017,0.005,0.002,0.001,0.000,0.000,0.000,0.000,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CH3Br,kt,186.206,168.841,167.857,155.925,155.925,155.925,155.925,155.925,155.925,155.925,155.925,155.925,1) ODS emissions are reported at the global level only.
World,AIM - RCP 6.0,ODS emissions - CH3Cl,kt,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,3511.082,1) ODS emissions are reported at the global level only.
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,32.398,34.938,38.973,39.852,33.062,45.126,42.887,43.876,25.741,15.971,13.117,10.910,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,7.984,6.031,5.670,5.431,4.718,4.536,4.275,4.015,2.766,2.399,2.144,1.910,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,13.300,14.093,13.274,11.714,12.060,11.229,10.242,9.266,8.230,6.375,5.853,5.058,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,29.274,29.952,28.345,21.558,16.310,12.336,9.251,6.701,3.654,2.298,1.656,1.012,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,13.666,12.497,11.177,8.389,6.995,4.269,3.066,2.466,1.623,1.103,1.016,0.982,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,AIM - RCP 6.0,Sulfur emissions - Total,TgSO2/yr,107.703,108.484,107.440,95.072,80.000,83.273,74.365,69.837,44.600,30.008,25.174,20.877,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,1.330,1.450,1.511,1.561,1.582,1.644,1.590,1.416,1.186,0.914,0.698,0.529,
R5LAM,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,0.675,0.633,0.530,0.446,0.394,0.327,0.269,0.227,0.178,0.144,0.119,0.096,
R5MAF,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,0.826,0.914,0.848,0.908,0.906,0.853,0.800,0.741,0.674,0.596,0.530,0.453,
R5OECD,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,1.112,1.148,0.910,0.460,0.250,0.135,0.071,0.039,0.017,0.004,0.002,0.000,
R5REF,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,0.359,0.368,0.331,0.236,0.159,0.097,0.063,0.043,0.030,0.021,0.015,0.010,
World,AIM - RCP 6.0,Sulfur emissions - SurfaceTransportation,TgSO2/yr,4.302,4.514,4.130,3.611,3.289,3.056,2.793,2.465,2.085,1.679,1.365,1.089,
R5ASIA,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,Sulfur emissions - International Shipping,TgSO2/yr,11.086,10.977,10.004,8.132,6.860,5.779,4.646,3.515,2.589,1.863,1.389,1.005,
R5ASIA,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,16.903,19.003,22.367,23.658,15.673,26.826,25.112,28.110,12.470,4.924,3.774,3.086,
R5LAM,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,3.549,1.576,1.284,1.062,0.470,0.651,0.772,0.930,0.138,0.114,0.090,0.080,
R5MAF,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,6.355,6.723,6.473,4.709,4.923,4.331,3.574,2.914,2.484,1.180,1.073,0.694,
R5OECD,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,17.886,18.503,17.734,13.475,10.144,7.694,5.707,4.145,1.857,0.956,0.596,0.167,
R5REF,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,8.282,7.160,6.225,4.587,3.904,1.910,1.221,1.000,0.424,0.067,0.074,0.110,
World,AIM - RCP 6.0,"Sulfur emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgSO2/yr,52.971,52.963,54.084,47.488,35.112,41.411,36.386,37.099,17.373,7.242,5.607,4.137,
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,AIM - RCP 6.0,Sulfur emissions - Solvents,TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.005,0.005,0.005,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.000,0.000,
R5LAM,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,
R5MAF,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.000,0.000,
R5OECD,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.030,0.028,0.024,0.018,0.013,0.010,0.007,0.005,0.004,0.003,0.002,0.001,
R5REF,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.012,0.010,0.009,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.000,
World,AIM - RCP 6.0,"Sulfur emissions - Waste (landfills, wastewater, non-energy incineration)",TgSO2/yr,0.054,0.049,0.043,0.033,0.024,0.018,0.013,0.010,0.007,0.005,0.004,0.003,
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,8.807,9.782,10.997,11.636,13.260,14.331,14.042,12.375,10.237,8.378,6.947,5.644,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,2.789,2.894,2.994,3.166,3.160,2.912,2.612,2.247,1.841,1.542,1.337,1.145,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,3.954,4.283,3.923,4.174,4.378,4.263,4.143,3.919,3.390,2.925,2.572,2.251,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,8.493,8.585,8.188,6.446,4.976,3.733,2.822,1.950,1.281,0.889,0.645,0.454,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,2.928,2.935,2.766,2.212,1.847,1.352,0.975,0.677,0.460,0.324,0.241,0.185,1) MiniCAM includes emissions from charcoal production in Industry
World,AIM - RCP 6.0,Sulfur emissions - Industry (combustion & processing),TgSO2/yr,26.971,28.478,28.866,27.632,27.620,26.589,24.593,21.167,17.208,14.058,11.742,9.679,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,4.005,3.345,2.737,1.614,1.160,0.927,0.725,0.533,0.381,0.264,0.185,0.126,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,0.458,0.407,0.350,0.232,0.182,0.146,0.114,0.093,0.077,0.058,0.045,0.035,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5MAF,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,0.891,0.893,0.752,0.641,0.573,0.483,0.395,0.323,0.268,0.217,0.183,0.143,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5OECD,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,1.424,1.360,1.160,0.824,0.603,0.436,0.311,0.222,0.154,0.102,0.065,0.043,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5REF,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,1.496,1.434,1.256,0.758,0.487,0.307,0.196,0.126,0.079,0.054,0.042,0.030,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
World,AIM - RCP 6.0,Sulfur emissions - Residential and Commercial,TgSO2/yr,8.273,7.439,6.255,4.068,3.005,2.299,1.741,1.298,0.959,0.695,0.520,0.376,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.095,0.099,0.102,0.096,0.094,0.089,0.083,0.078,0.073,0.068,0.054,0.044,
R5LAM,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.030,0.033,0.034,0.027,0.028,0.028,0.028,0.029,0.029,0.027,0.028,0.026,
R5MAF,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.031,0.035,0.037,0.032,0.034,0.035,0.036,0.037,0.036,0.034,0.035,0.033,
R5OECD,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.025,0.025,0.026,0.020,0.021,0.021,0.021,0.021,0.021,0.019,0.019,0.017,
R5REF,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.023,0.024,0.023,0.018,0.016,0.015,0.014,0.013,0.012,0.009,0.008,0.007,
World,AIM - RCP 6.0,Sulfur emissions - Ag waste burning on fields,TgSO2/yr,0.205,0.216,0.221,0.194,0.193,0.189,0.182,0.178,0.171,0.157,0.144,0.127,
R5ASIA,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
R5LAM,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
R5MAF,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
R5OECD,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
R5REF,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
World,AIM - RCP 6.0,"Sulfur emissions - Agriculture (Animals, Rice, & Soil)",TgSO2/yr,,,,,,,,,,,,,1) No data availlable for this category
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,0.034,0.034,0.035,0.039,0.040,0.044,0.050,0.055,0.061,0.066,0.073,0.075,
R5LAM,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,0.145,0.147,0.144,0.152,0.146,0.145,0.147,0.151,0.155,0.158,0.160,0.161,
R5MAF,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,1.121,1.122,1.120,1.125,1.118,1.127,1.145,1.166,1.193,1.218,1.235,1.243,
R5OECD,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,0.159,0.159,0.159,0.169,0.159,0.161,0.164,0.169,0.170,0.173,0.174,0.175,
R5REF,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,0.128,0.128,0.129,0.130,0.132,0.134,0.137,0.141,0.144,0.148,0.151,0.152,
World,AIM - RCP 6.0,Sulfur emissions - Grassland burning,TgSO2/yr,1.586,1.590,1.586,1.615,1.595,1.611,1.643,1.681,1.723,1.763,1.793,1.806,
R5ASIA,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,1.219,1.220,1.219,1.245,1.250,1.263,1.284,1.307,1.331,1.355,1.386,1.407,1) MESSAGE data only reported for main tropical regions based on RETRO
R5LAM,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,0.335,0.339,0.332,0.344,0.336,0.326,0.331,0.338,0.347,0.356,0.364,0.368,1) MESSAGE data only reported for main tropical regions based on RETRO
R5MAF,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,0.119,0.120,0.118,0.122,0.125,0.135,0.148,0.165,0.184,0.204,0.224,0.242,1) MESSAGE data only reported for main tropical regions based on RETRO
R5OECD,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,0.144,0.144,0.144,0.146,0.144,0.145,0.147,0.149,0.150,0.152,0.153,0.153,1) MESSAGE data only reported for main tropical regions based on RETRO
R5REF,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,0.438,0.437,0.439,0.442,0.446,0.451,0.458,0.465,0.472,0.479,0.484,0.488,1) MESSAGE data only reported for main tropical regions based on RETRO
World,AIM - RCP 6.0,Sulfur emissions - Forest burning,TgSO2/yr,2.255,2.259,2.252,2.299,2.302,2.321,2.368,2.424,2.485,2.546,2.610,2.657,1) MESSAGE data only reported for main tropical regions based on RETRO
R5ASIA,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,3.024,3.372,3.441,3.392,3.500,3.688,3.604,3.154,2.533,2.054,1.682,1.447,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,0.926,0.919,0.876,0.824,0.766,0.709,0.674,0.649,0.625,0.608,0.601,0.591,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,1.855,1.902,1.861,1.846,1.827,1.814,1.800,1.787,1.769,1.751,1.743,1.720,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,1.186,1.190,1.118,0.942,0.774,0.645,0.543,0.462,0.394,0.344,0.312,0.290,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,0.645,0.668,0.652,0.574,0.505,0.444,0.396,0.361,0.332,0.313,0.303,0.295,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,AIM - RCP 6.0,Black carbon emissions - Total,Tg/yr,7.771,8.184,8.074,7.683,7.464,7.382,7.086,6.466,5.695,5.102,4.665,4.361,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,0.337,0.365,0.364,0.350,0.339,0.341,0.319,0.273,0.222,0.167,0.124,0.091,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,0.211,0.201,0.178,0.145,0.125,0.103,0.083,0.066,0.048,0.036,0.027,0.021,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,0.137,0.146,0.136,0.125,0.118,0.107,0.095,0.082,0.070,0.059,0.050,0.041,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,0.569,0.577,0.524,0.410,0.317,0.240,0.179,0.129,0.090,0.061,0.042,0.029,
R5REF,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,0.086,0.093,0.087,0.069,0.055,0.042,0.032,0.024,0.018,0.013,0.009,0.007,
World,AIM - RCP 6.0,Black Carbon emissions - Surface Transportation,Tg/yr,1.341,1.381,1.289,1.099,0.953,0.834,0.707,0.574,0.448,0.336,0.252,0.188,
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,Black Carbon emissions - International Shipping,Tg/yr,0.131,0.128,0.120,0.100,0.087,0.075,0.062,0.047,0.036,0.026,0.019,0.014,
R5ASIA,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,Black Carbon emissions - Aviation,Tg/yr,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,
R5ASIA,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.022,0.024,0.026,0.027,0.020,0.025,0.021,0.021,0.011,0.007,0.005,0.004,
R5LAM,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.005,0.006,0.006,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.000,
R5MAF,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.002,0.002,0.001,0.001,
R5OECD,AIM - RCP 6.0,"Black Carbon emissions - Power Plants, Energy Conversion, Extraction, and Distribution",Tg/yr,0.014,0.013,0.012,0.010,0.009,0.007,0.005,0.004,0.003,0.002,0.001,0.000,
