R5REF,AIM - RCP 6.0,CO2 emissions - Land-use change,PgC/yr,0.056,0.056,0.034,-0.004,-0.040,-0.041,-0.030,-0.023,-0.013,-0.003,-0.002,-0.005,
World,AIM - RCP 6.0,CO2 emissions - Land-use change,PgC/yr,1.149,1.196,0.877,0.406,-0.557,-0.714,-0.464,-0.258,-0.029,0.244,0.243,0.181,
R5ASIA,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,125.066,130.313,132.287,127.300,136.814,144.669,150.417,154.263,155.062,146.259,126.565,116.230,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5LAM,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,39.981,42.156,42.899,37.550,37.667,38.238,38.890,41.402,42.989,41.544,30.412,27.602,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5MAF,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,44.325,48.868,54.883,56.261,62.738,71.355,78.299,82.976,84.730,80.933,58.149,55.167,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5OECD,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,60.891,63.127,62.991,62.148,63.101,65.288,65.192,63.284,58.044,52.261,38.744,33.740,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5REF,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,29.726,28.769,29.053,26.481,24.405,23.484,21.801,21.589,18.729,18.575,15.811,12.939,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
World,AIM - RCP 6.0,CH4 emissions -Total,TgCH4/yr,300.411,313.645,322.518,310.142,325.160,343.490,355.042,363.928,359.931,339.910,269.998,245.963,"1) Note that totals do aggregate available data, and do thus not always include all sources.
2) Totals of historical emissions are not provided, because they are not available for all sectors and years yet."
R5ASIA,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.278,0.328,0.371,0.453,0.576,0.760,0.877,0.897,0.847,0.736,0.639,0.540,
R5LAM,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.102,0.104,0.099,0.104,0.109,0.109,0.106,0.102,0.092,0.086,0.084,0.079,
R5MAF,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.075,0.092,0.093,0.134,0.176,0.197,0.221,0.252,0.282,0.302,0.311,0.306,
R5OECD,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.365,0.369,0.351,0.320,0.286,0.253,0.219,0.183,0.149,0.117,0.095,0.075,
R5REF,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.051,0.058,0.056,0.051,0.047,0.042,0.036,0.032,0.028,0.025,0.024,0.020,
World,AIM - RCP 6.0,CH4 emissions - Surface Transportation,TgCH4/yr,0.872,0.951,0.971,1.062,1.194,1.362,1.460,1.465,1.399,1.265,1.152,1.020,
R5ASIA,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5LAM,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5MAF,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5OECD,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
R5REF,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,,,,,,,,,,,,,
World,AIM - RCP 6.0,CH4 emissions - International Shipping,TgCH4/yr,0.433,0.429,0.422,0.418,0.451,0.471,0.462,0.434,0.399,0.359,0.332,0.298,
R5ASIA,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,22.003,21.162,18.425,12.572,16.128,19.831,22.519,22.886,19.332,11.701,5.810,5.384,
R5LAM,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,5.075,5.583,5.227,4.093,3.987,4.177,4.401,4.805,3.940,4.018,4.124,4.255,
R5MAF,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.437,15.568,20.279,25.672,30.352,37.435,42.610,43.662,41.410,36.680,16.167,14.673,
R5OECD,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,16.746,18.738,18.234,17.550,16.127,15.332,14.134,13.273,10.972,9.318,7.975,6.339,
R5REF,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,13.672,12.434,13.192,12.377,11.272,11.109,10.064,10.344,8.033,8.712,7.340,5.007,
World,AIM - RCP 6.0,"CH4 emissions - Power Plants, Energy Conversion, Extraction, and Distribution",TgCH4/yr,70.928,73.479,75.351,72.260,77.859,87.879,93.721,94.962,83.678,70.422,41.413,35.657,
R5ASIA,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5LAM,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5MAF,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5OECD,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5REF,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
World,AIM - RCP 6.0,CH4 emissions - Solvents,TgCH4/yr,,,,,,,,,,,,,1) No data availlable for this category (except for VOC emissions)
R5ASIA,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,23.163,23.391,23.208,22.515,21.256,19.508,17.537,15.709,13.988,12.345,10.820,9.459,
R5LAM,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,9.459,9.570,9.559,9.351,8.898,8.239,7.437,6.690,5.987,5.310,4.674,4.098,
R5MAF,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,6.029,6.401,6.695,7.204,7.516,7.634,7.555,7.296,6.869,6.315,5.697,5.076,
R5OECD,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,17.612,17.453,17.014,15.984,14.808,13.559,12.273,11.069,9.928,8.842,7.844,7.008,
R5REF,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,5.594,5.237,4.843,4.104,3.411,2.787,2.275,1.888,1.577,1.320,1.109,0.903,
World,AIM - RCP 6.0,"CH4 emissions - Waste (landfills, wastewater, non-energy incineration)",TgCH4/yr,61.856,62.050,61.317,59.155,55.885,51.723,47.073,42.649,38.345,34.129,30.144,26.543,
R5ASIA,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.243,0.287,0.337,0.438,0.588,0.747,0.869,0.938,0.918,0.835,0.813,0.755,1) MiniCAM includes emissions from charcoal production in Industry
R5LAM,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.085,0.086,0.090,0.095,0.102,0.111,0.120,0.123,0.119,0.114,0.115,0.107,1) MiniCAM includes emissions from charcoal production in Industry
R5MAF,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.059,0.065,0.063,0.063,0.067,0.071,0.078,0.086,0.090,0.092,0.097,0.102,1) MiniCAM includes emissions from charcoal production in Industry
R5OECD,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.361,0.366,0.368,0.342,0.318,0.286,0.255,0.222,0.192,0.170,0.153,0.132,1) MiniCAM includes emissions from charcoal production in Industry
R5REF,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.130,0.129,0.125,0.125,0.123,0.118,0.113,0.103,0.088,0.073,0.065,0.060,1) MiniCAM includes emissions from charcoal production in Industry
World,AIM - RCP 6.0,CH4 emissions - Industry (combustion & processing),TgCH4/yr,0.879,0.933,0.983,1.063,1.198,1.332,1.434,1.472,1.408,1.285,1.242,1.156,1) MiniCAM includes emissions from charcoal production in Industry
R5ASIA,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,7.839,7.378,6.634,6.048,5.510,5.001,4.471,3.835,3.296,2.725,2.158,1.769,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
R5LAM,AIM - RCP 6.0,CH4 emissions - Residential and Commercial,TgCH4/yr,0.431,0.390,0.343,0.300,0.264,0.233,0.201,0.176,0.154,0.131,0.109,0.091,"1) MiniCAM includes emissions from ""other stationary"" and agricultural production in Res/Comm"
